Nofence ID,ID,Type dyr,Tid,Aktivitet ,Kommentar ,,,,,
ny klave,1512,Rosa ku,2020-08-24 08:32:14',Beiter start,09:47:01 beiter litt blader igjen (noen sekunder),,,,,
ny klave,1512,Rosa ku,2020-08-24 11:26:51',Beiter slutt,,,,,,
ny klave,1512,Rosa ku,2020-08-24 11:26:52',Legger seg,,,,,,
ny klave,1512,Rosa ku,2020-08-24 11:27:40',Dier start,Rosa egenkalv dier rosa ku som ligger,,,,,
ny klave,1512,Rosa ku,2020-08-24 11:37:51',Dier slutt,,,,,,
ny klave,1512,Rosa ku,2020-08-24 11:47:25',Reiser seg,Christopher kommer og roper på dyra (de skal hjem fra setra),,,,,
ny klave,1512,Rosa ku,2020-08-24 11:47:34',Dier start,Rosa egenkalv dier rosa ku,,,,,
ny klave,1512,Rosa ku,2020-08-24 11:47:47',Dier slutt,11:47:55 går de mot Christopher,,,,,
ny klave,1512,Rosa ku,2020-08-24 11:48:17',VIDEO SLUTT,,,,,,
37689,1514,Gul ku,2020-08-24 08:33:14',Dier start,Gul egenkalv dier ,,,,,
37689,1514,Gul ku,2020-08-24 08:49:12',Dier slutt,Gul egenkalv slutter die ,,,,,
37725,1516,Rød ku,2020-08-24 08:34:10',Dier start,Rød egenkalv dier (vet ikke når kalven starta å die),,,,,
37725,1516,Rød ku,2020-08-24 08:34:48',Dier start,Gul fosterkalv dier ,,,,,
37725,1516,Rød ku,2020-08-24 08:36:33',Dier start,Grønn egenkalv dier,,,,,
37725,1516,Rød ku,2020-08-24 08:41:29',Dier slutt,Gul fosterkalv slutter die ,,,,,
37725,1516,Rød ku,2020-08-24 08:42:18',Dier slutt,Grønn egenkalv slutter die ,,,,,
37725,1516,Rød ku,2020-08-24 08:42:29',Dier start,Gul fosterkalv dier ,,,,,
37725,1516,Rød ku,2020-08-24 08:42:50',Dier slutt,Gul fosterkalv slutter die,,,,,
37725,1516,Rød ku,2020-08-24 08:46:10',Dier slutt,Rød egenkalv slutter die ,,,,,
37725,1516,Rød ku,2020-08-24 08:47:02',Dier start,Rød egenkalv dier (Ser ikke nøyaktig når starter å die),,,,,
37725,1516,Rød ku,2020-08-24 08:47:38',Dier slutt,Rød egenkalv slutter die ,,,,,
